0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:38:03 -0400] "GET /RememberPasswordWithJSPServlet/eventmetadata.jsp HTTP/1.1" 200 3396
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:38:03 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:38:05 -0400] "GET /RememberPasswordWithJSPServlet/welcome.jsp HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:38:05 -0400] "GET /RememberPasswordWithJSPServlet/image/1.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:38:25 -0400] "GET /RememberPasswordWithJSPServlet/welcome.jsp HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:38:25 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:38:25 -0400] "GET /RememberPasswordWithJSPServlet/image/1.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:38:26 -0400] "GET /RememberPasswordWithJSPServlet/welcome.jsp HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:38:26 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:38:26 -0400] "GET /RememberPasswordWithJSPServlet/image/1.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:38:54 -0400] "GET /RememberPasswordWithJSPServlet/welcome.jsp HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:38:54 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:38:54 -0400] "GET /RememberPasswordWithJSPServlet/image/1.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:39:15 -0400] "GET /RememberPasswordWithJSPServlet/welcome.jsp HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:39:15 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:39:15 -0400] "GET /RememberPasswordWithJSPServlet/image/1.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:39:39 -0400] "GET /RememberPasswordWithJSPServlet/welcome.jsp HTTP/1.1" 200 861
